assay,std_type,SMILES,std_value,std_units,standard_relation,molecule_chembl_id,activity_type
Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),IC50,CC(C(=O)O)c1ccc(-c2ccc(C(F)(F)F)cc2)c(F)c1,129000.0,nM,=,CHEMBL193971,inactive
Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),IC50,CC(C(=O)O)c1ccc(-c2csc3ccccc23)c(F)c1,83000.0,nM,=,CHEMBL194274,inactive
Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),IC50,COc1ccc(-c2ccc(C(C)C(=O)O)cc2F)cc1,67000.0,nM,=,CHEMBL196321,inactive
Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),IC50,CC(C(=O)O)c1ccc(-c2ccc3c(c2)OCO3)c(F)c1,210000.0,nM,=,CHEMBL196322,inactive
Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),IC50,CC(C(=O)O)c1ccc(-c2ccc(OC3CCCCC3)cc2)c(F)c1,41000.0,nM,=,CHEMBL380778,inactive
Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),IC50,CC(C(=O)O)c1ccc(-c2ccc(-c3ccc(O)cc3)cc2)c(F)c1,35000.0,nM,=,CHEMBL197202,inactive
Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),IC50,O=C(O)C1(c2ccc(-c3ccc(C(F)(F)F)cc3)c(F)c2)CC1,111000.0,nM,=,CHEMBL196246,inactive
Concentration required to inhibit A beta 40 peptide 100 um,IC50,O=C(O)C1(c2ccc(-c3ccc(C(F)(F)F)cc3)c(F)c2)CC1,22000.0,nM,=,CHEMBL196246,inactive
Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),IC50,O=C(O)C1(c2ccc(-c3ccc(Cl)c(Cl)c3)c(F)c2)CC1,41000.0,nM,=,CHEMBL196945,inactive
Concentration required to inhibit A beta 40 peptide 100 uM,IC50,O=C(O)C1(c2ccc(-c3ccc(Cl)c(Cl)c3)c(F)c2)CC1,14000.0,nM,=,CHEMBL196945,inactive
Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),IC50,O=C(O)C1(c2ccc(-c3csc4ccccc34)c(F)c2)CC1,96300.0,nM,=,CHEMBL196946,inactive
Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),IC50,CC1(C)CCC(c2ccc(-c3ccc(C4(C(=O)O)CC4)cc3F)cc2)CC1,46000.0,nM,=,CHEMBL372751,inactive
Concentration required to inhibit A beta 40 peptide 100 uM,IC50,CC1(C)CCC(c2ccc(-c3ccc(C4(C(=O)O)CC4)cc3F)cc2)CC1,101000.0,nM,=,CHEMBL372751,inactive
Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),IC50,CC(C)(C(=O)O)c1ccc(-c2ccc(C(F)(F)F)cc2)c(F)c1,70600.0,nM,=,CHEMBL194692,inactive
Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),IC50,O=C(O)C1(c2ccc(-c3ccc(-c4ccc(O)cc4)cc3)c(F)c2)CC1,31600.0,nM,=,CHEMBL196947,inactive
Concentration required to inhibit A beta 40 peptide 100 uM,IC50,O=C(O)C1(c2ccc(-c3ccc(-c4ccc(O)cc4)cc3)c(F)c2)CC1,409000.0,nM,=,CHEMBL196947,inactive
Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),IC50,O=C(O)C1(c2ccc(-c3ccc(-c4ccc(O)cc4)c(F)c3)c(F)c2)CC1,33600.0,nM,=,CHEMBL372846,inactive
Concentration required to inhibit A beta 40 peptide,IC50,O=C(O)C1(c2ccc(-c3ccc(-c4ccc(O)cc4)c(F)c3)c(F)c2)CC1,111000.0,nM,=,CHEMBL372846,inactive
Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),IC50,O=C(O)C1(c2ccc(-c3ccc(-c4ccc(F)cc4)c(F)c3)c(F)c2)CC1,57900.0,nM,=,CHEMBL427548,inactive
Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),IC50,CC1(C)CC(Oc2ccc(-c3ccc(C4(C(=O)O)CC4)cc3F)cc2)CC(C)(C)C1,11000.0,nM,=,CHEMBL197140,inactive
Concentration required to inhibit A beta 40 peptide,IC50,O=C(O)C1(c2ccc(-c3ccc(OC4CCOCC4)cc3)c(F)c2)CC1,81000.0,nM,=,CHEMBL382721,inactive
Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),IC50,O=C(O)C1(c2ccc(-c3ccc(OC4CCC(C(F)(F)F)CC4)cc3)c(F)c2)CC1,17700.0,nM,=,CHEMBL436483,inactive
Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),IC50,CC(c1ccc(-c2ccc(C(F)(F)F)cc2)c(F)c1)c1nnn[nH]1,114000.0,nM,=,CHEMBL196070,inactive
Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),IC50,CC(C(N)=O)c1ccc(-c2cc(Cl)cc(Cl)c2)c(F)c1,64000.0,nM,=,CHEMBL193900,inactive
Concentration required to inhibit A beta 40 peptide 100 uM,IC50,CC(C(N)=O)c1ccc(-c2cc(Cl)cc(Cl)c2)c(F)c1,12000.0,nM,=,CHEMBL193900,inactive
Concentration required to inhibit A beta 40 peptide 100 uM,IC50,CC(C(=O)OC(C)(C)C)c1ccc(-c2cc(Cl)cc(Cl)c2)c(F)c1,20000.0,nM,=,CHEMBL194020,inactive
Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),IC50,C[C@@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,280000.0,nM,=,CHEMBL190083,inactive
Inhibition of soluble APPbeta N-terminal fragment secretion in cultured HEK293T cells,IC50,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@@H](N)C[C@@H](C)C(=O)N[C@H](C(=O)NCc2ccccc2)C(C)C)c1,5.2,nM,=,CHEMBL199946,active
Inhibition of soluble APPbeta N-terminal fragment secretion in cultured HEK293T cells,IC50,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](CC(C)C)[C@@H](N)C[C@@H](C)C(=O)Nc2ccc(F)cc2)c1,6000.0,nM,=,CHEMBL202877,active
Inhibition of soluble APPbeta N-terminal fragment secretion in cultured HEK293T cells,IC50,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](CC(C)C)[C@H](N)C[C@@H](C)C(=O)N[C@H](C(=O)NCc2ccccc2)C(C)C)c1,9900.0,nM,=,CHEMBL200014,active
Inhibition of soluble APPbeta N-terminal fragment secretion in cultured HEK293T cells,IC50,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](CC(C)C)[C@@H](N)C[C@@H](C)C(=O)N[C@H](C(=O)NCc2ccccc2)C(C)C)c1,740.0,nM,=,CHEMBL202507,active
Inhibition of soluble APPbeta N-terminal fragment secretion in cultured HEK293T cells,IC50,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@@H](N)C[C@@H](C)C(=O)Nc2ccc(F)cc2)c1,180.0,nM,=,CHEMBL200077,active
Inhibition of beta-amyloid peptide production in CHO N9 cell line,IC50,CCC[C@H](C(=O)NO)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Oc3ccccc3)c2)C1=O,200.0,nM,=,CHEMBL204357,active
Inhibition of beta-amyloid peptide production in CHO N9 cell line,IC50,CCC[C@H](C(=O)NO)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2ccccc2)C1=O,6800.0,nM,=,CHEMBL206766,active
Inhibition of beta-amyloid peptide production in CHO N9 cell line,IC50,CCC[C@H](C(=O)NC/C=C/Cc1ccccc1)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Oc3ccccc3)c2)C1=O,3000.0,nM,=,CHEMBL204443,active
Inhibition of beta-amyloid peptide production in CHO N9 cell line,IC50,CCC[C@H](C(=O)NC1CCCC1)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Oc3ccccc3)c2)C1=O,6000.0,nM,=,CHEMBL381336,active
Inhibition of beta-amyloid peptide production in CHO N9 cell line,IC50,CCC[C@H](C(=O)NCc1ccco1)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Oc3ccccc3)c2)C1=O,3000.0,nM,=,CHEMBL205400,active
Inhibition of beta-amyloid peptide production in CHO N9 cell line,IC50,CCCCNC(=O)[C@@H](CCC)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Oc3ccccc3)c2)C1=O,5000.0,nM,=,CHEMBL205714,active
Inhibition of beta-amyloid peptide production in CHO N9 cell line,IC50,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(NN3CCCCC3)c2)C1=O,74.0,nM,=,CHEMBL208230,active
Inhibition of beta-amyloid peptide production in CHO N9 cell line,IC50,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3ccc(C(F)(F)F)cc3)c2)C1=O,30.0,nM,=,CHEMBL424684,active
Inhibition of beta-amyloid peptide production in CHO N9 cell line,IC50,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3ccc(OC)cc3)c2)C1=O,160.0,nM,=,CHEMBL274414,active
Inhibition of beta-amyloid peptide production in CHO N9 cell line,IC50,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3ccc(F)c(Cl)c3)c2)C1=O,17.0,nM,=,CHEMBL208504,active
Inhibition of beta-amyloid peptide production in CHO N9 cell line,IC50,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3ccc4c(c3)OCO4)c2)C1=O,152.0,nM,=,CHEMBL205970,active
Inhibition of beta-amyloid peptide production in CHO N9 cell line,IC50,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3cccc(OC)c3)c2)C1=O,54.0,nM,=,CHEMBL410532,active
Inhibition of beta-amyloid peptide production in CHO N9 cell line,IC50,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3cccc(C)c3)c2)C1=O,17.0,nM,=,CHEMBL208350,active
Inhibition of beta-amyloid peptide production in CHO N9 cell line,IC50,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3ccccc3Cl)c2)C1=O,29.0,nM,=,CHEMBL382880,active
Inhibition of beta-amyloid peptide production in CHO N9 cell line,IC50,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3ccccc3)c2)C1=O,15.0,nM,=,CHEMBL205907,active
Inhibition of gamma-secretase,IC50,CN1CCCC1CCNC(=O)OCCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1,530.0,nM,=,CHEMBL231446,active
Inhibition of gamma-secretase,IC50,O=C(OC[C@H]1CCC[C@@H](c2ccccc2)N1S(=O)(=O)c1ccc(Cl)cc1)N1CCC(N2CCCCC2)CC1,16.0,nM,=,CHEMBL396543,active
Inhibition of gamma-secretase,IC50,O=C(OC[C@H]1CC[C@@H](c2ccccc2)N1S(=O)(=O)c1ccc(Cl)cc1)N1CCC(N2CCCCC2)CC1,180.0,nM,=,CHEMBL231548,active
Inhibition of gamma-secretase,IC50,O=C(NC1CCN(Cc2ccccc2)CC1)OC[C@H]1CC[C@@H](c2ccccc2)N1S(=O)(=O)c1ccc(Cl)cc1,140.0,nM,=,CHEMBL231547,active
Inhibition of gamma-secretase,IC50,O=C(OC[C@H]1CC[C@@H](c2ccccc2)N1S(=O)(=O)c1ccc(Cl)cc1)N1CCN(C2CCCCC2)CC1,120.0,nM,=,CHEMBL231449,active
Inhibition of gamma-secretase,IC50,O=C(OC[C@H]1CC[C@@H](c2ccccc2)N1S(=O)(=O)c1ccc(Cl)cc1)N1CCN(CCO)CC1,540.0,nM,=,CHEMBL231448,active
Inhibition of gamma-secretase,IC50,CN1CCN(C(=O)OC[C@H]2CC[C@@H](c3ccccc3)N2S(=O)(=O)c2ccc(Cl)cc2)CC1,450.0,nM,=,CHEMBL396542,active
Inhibition of gamma-secretase,IC50,O=C(NCCCn1ccnc1)OC[C@H]1CC[C@@H](c2ccccc2)N1S(=O)(=O)c1ccc(Cl)cc1,650.0,nM,=,CHEMBL231351,active
Inhibition of gamma-secretase,IC50,CN1CCCC1CCNC(=O)OC[C@H]1CC[C@@H](c2ccccc2)N1S(=O)(=O)c1ccc(Cl)cc1,600.0,nM,=,CHEMBL395313,active
Inhibition of gamma-secretase,IC50,O=C(OCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1)N1CCC(N2CCCCC2)CC1,73.0,nM,=,CHEMBL231250,active
Inhibition of gamma-secretase,IC50,O=C(OCCCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1)N1CCC(N2CCCCC2)CC1,60.0,nM,=,CHEMBL231248,active
Inhibition of gamma-secretase,IC50,O=C(OCCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1)N1CCC(N2CCCCC2)CC1,360.0,nM,=,CHEMBL395312,active
Inhibition of gamma-secretase,IC50,O=C(NC1CCN(Cc2ccccc2)CC1)OCCCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1,190.0,nM,=,CHEMBL390889,active
Inhibition of gamma-secretase,IC50,O=C(NC1CCN(Cc2ccccc2)CC1)OCCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1,900.0,nM,=,CHEMBL231647,active
Inhibition of gamma-secretase,IC50,O=C(OCCCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1)N1CCN(C2CCCCC2)CC1,180.0,nM,=,CHEMBL231545,active
Inhibition of gamma-secretase,IC50,O=C(OCCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1)N1CCN(C2CCCCC2)CC1,1000.0,nM,=,CHEMBL231035,active
Inhibition of gamma-secretase,IC50,O=C(OCCCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1)N1CCN(CCO)CC1,680.0,nM,=,CHEMBL230931,active
Inhibition of gamma-secretase,IC50,O=C(OCCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1)N1CCN(CCO)CC1,880.0,nM,=,CHEMBL425304,active
Inhibition of gamma-secretase,IC50,CN1CCN(C(=O)OCCCC2CCc3ccccc3N2S(=O)(=O)c2ccc(Cl)cc2)CC1,780.0,nM,=,CHEMBL231125,active
Inhibition of gamma-secretase,IC50,CN1CCN(C(=O)OCCC2CCc3ccccc3N2S(=O)(=O)c2ccc(Cl)cc2)CC1,1900.0,nM,=,CHEMBL390478,active
Inhibition of gamma-secretase,IC50,O=C(NCCCn1ccnc1)OCCCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1,86.0,nM,=,CHEMBL231544,active
Inhibition of gamma-secretase,IC50,O=C(NCCCn1ccnc1)OCCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1,280.0,nM,=,CHEMBL389549,active
Inhibition of gamma-secretase,IC50,CN1CCCC1CCNC(=O)OCCCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1,220.0,nM,=,CHEMBL231447,active
Inhibition of gamma-secretase assessed as reduction of membrane A-beta-40 level,IC50,O=C(OC1([C@H]2CCC[C@@H](c3cc(F)cc(F)c3)N2S(=O)(=O)c2ccc(Cl)cc2)CC1)N1CCC(N2CCCCC2)CC1,0.3,nM,=,CHEMBL240055,active
Inhibition of gamma-secretase assessed as reduction of membrane A-beta-40 level,IC50,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CC[C@@H](O)C3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,56.0,nM,=,CHEMBL240286,active
Inhibition of gamma-secretase assessed as reduction of membrane A-beta-40 level,IC50,CCC[C@@H]1CCC[C@H](C2(OC(=O)N3CC[C@@H](O)C3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,47.0,nM,=,CHEMBL240285,active
Inhibition of gamma-secretase assessed as reduction of membrane A-beta-40 level,IC50,O=C(OC1([C@H]2CCC[C@@H](C3CC3)N2S(=O)(=O)c2ccc(Cl)cc2)CC1)N1CC[C@@H](O)C1,46.0,nM,=,CHEMBL398395,active
Inhibition of gamma-secretase assessed as reduction of membrane A-beta-40 level,IC50,O=C(OC1([C@H]2CCC[C@@H](c3cc(F)cc(F)c3)N2S(=O)(=O)c2ccc(Cl)cc2)CC1)N1CC[C@@H](O)C1,17.0,nM,=,CHEMBL240284,active
Inhibition of gamma-secretase assessed as reduction of membrane A-beta-40 level,IC50,O=C(OC1([C@H]2CCC[C@@H](CC(F)(F)F)N2S(=O)(=O)c2ccc(Cl)cc2)CC1)N1CCN(CCO)CC1,14.0,nM,=,CHEMBL240071,active
Inhibition of gamma-secretase assessed as reduction of membrane A-beta-40 level,IC50,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CCN(CCO)CC3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,12.0,nM,=,CHEMBL240070,active
Inhibition of gamma-secretase assessed as reduction of membrane A-beta-40 level,IC50,O=C(OC1([C@H]2CCC[C@@H](C3CC3)N2S(=O)(=O)c2ccc(Cl)cc2)CC1)N1CCN(CCO)CC1,27.0,nM,=,CHEMBL240069,active
Inhibition of gamma-secretase assessed as reduction of membrane A-beta-40 level,IC50,O=C(OC1([C@H]2CCC[C@@H](CC(F)(F)F)N2S(=O)(=O)c2ccc(Cl)cc2)CC1)N1CCC(N2CCCCC2)CC1,3.5,nM,=,CHEMBL442801,active
Inhibition of gamma-secretase assessed as reduction of membrane A-beta-40 level,IC50,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CCC(N4CCCCC4)CC3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,3.5,nM,=,CHEMBL239859,active
Inhibition of gamma-secretase assessed as reduction of membrane A-beta-40 level,IC50,CCC[C@@H]1CCC[C@H](C2(OC(=O)N3CCC(N4CCCCC4)CC3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,2.5,nM,=,CHEMBL239858,active
Inhibition of gamma-secretase assessed as reduction of membrane A-beta-40 level,IC50,O=C(OC1([C@H]2CCC[C@@H](C3CC3)N2S(=O)(=O)c2ccc(Cl)cc2)CC1)N1CCC(N2CCCCC2)CC1,2.8,nM,=,CHEMBL400420,active
Inhibition of gamma-secretase assessed as reduction of membrane A-beta-40 level,IC50,O=C(OC1([C@H]2CCC[C@@H](c3cc(F)cc(F)c3)N2S(=O)(=O)c2ccc(Cl)cc2)CC1)N1CCN(CCO)CC1,2.4,nM,=,CHEMBL239629,active
Inhibition of gamma-secretase assessed as reduction of membrane A-beta-40 level,IC50,CC(C)(CO)N1CCN(C(=O)OC2([C@H]3CCC[C@@H](C4CC4)N3S(=O)(=O)c3ccc(Cl)cc3)CC2)CC1,12.0,nM,=,CHEMBL393941,active
Inhibition of gamma-secretase assessed as reduction of membrane A-beta-40 level,IC50,O=C(OC1([C@H]2CCC[C@@H](C3CC3)N2S(=O)(=O)c2ccc(Cl)cc2)CC1)N1CCN(CCCO)CC1,16.0,nM,=,CHEMBL236192,active
Inhibition of gamma-secretase assessed as reduction of membrane A-beta-40 level,IC50,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CCC(N4CCCCC4)CC3)CC2)N1S(=O)(=O)c1cc(F)cc(F)c1,29.0,nM,=,CHEMBL429448,active
Inhibition of gamma-secretase assessed as reduction of membrane A-beta-40 level,IC50,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CCN(C(C)(C)CO)CC3)CC2)N1S(=O)(=O)c1cc(F)cc(F)c1,81.0,nM,=,CHEMBL236191,active
Inhibition of gamma-secretase assessed as reduction of membrane A-beta-40 level,IC50,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CCC(N4CCCCC4)CC3)CC2)N1S(=O)(=O)c1ccc(F)c(F)c1,6.9,nM,=,CHEMBL236190,active
Inhibition of gamma-secretase assessed as reduction of membrane A-beta-40 level,IC50,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CC4CCC(C3)N4CCO)CC2)N1S(=O)(=O)c1ccc(F)c(F)c1,27.0,nM,=,CHEMBL236189,active
Inhibition of gamma-secretase assessed as reduction of membrane A-beta-40 level,IC50,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CCN(C(C)(C)CO)CC3)CC2)N1S(=O)(=O)c1ccc(F)c(F)c1,9.6,nM,=,CHEMBL236188,active
Inhibition of gamma-secretase assessed as reduction of membrane A-beta-40 level,IC50,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CCC(N4CCCCC4)CC3)CC2)N1S(=O)(=O)c1ccc(F)cc1,16.0,nM,=,CHEMBL236187,active
Inhibition of gamma-secretase assessed as reduction of membrane A-beta-40 level,IC50,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CC4CCC(C3)N4CCO)CC2)N1S(=O)(=O)c1ccc(F)cc1,25.0,nM,=,CHEMBL236186,active
Inhibition of gamma-secretase assessed as reduction of membrane A-beta-40 level,IC50,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CCN(C(C)(C)CO)CC3)CC2)N1S(=O)(=O)c1ccc(F)cc1,10.0,nM,=,CHEMBL236185,active
Inhibition of gamma-secretase assessed as reduction of membrane A-beta-40 level,IC50,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CC4CCC(C3)N4CCO)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,3.5,nM,=,CHEMBL392060,active
Inhibition of gamma-secretase assessed as reduction of membrane A-beta-40 level,IC50,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CCN(C(C)(C)CO)CC3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,6.9,nM,=,CHEMBL236184,active
Inhibition of gamma-secretase assessed as reduction of membrane A-beta-40 level,IC50,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CCN(CCCO)CC3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,17.0,nM,=,CHEMBL236183,active
Inhibition of gamma-secretase assessed as reduction of membrane A-beta-40 level,IC50,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CCN(CCO)C[C@@H]3C)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,12.0,nM,=,CHEMBL392059,active
Inhibition of gamma-secretase assessed as reduction of membrane A-beta-40 level,IC50,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CCN(CCO)[C@@H](C)C3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,13.0,nM,=,CHEMBL236182,active
Inhibition of gamma-secretase assessed as reduction of membrane A-beta-40 level,IC50,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CCC(CCO)(OC)CC3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,9.0,nM,=,CHEMBL394132,active
Inhibition of gamma-secretase assessed as reduction of membrane A-beta-40 level,IC50,CCCC1(O)CCN(C(=O)OC2([C@H]3CCC[C@@H](CC)N3S(=O)(=O)c3ccc(Cl)cc3)CC2)C1,28.0,nM,=,CHEMBL238271,active
Inhibition of gamma-secretase assessed as reduction of membrane A-beta-40 level,IC50,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CCC(O)(CC)CC3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,3.2,nM,=,CHEMBL392144,active
Inhibition of gamma-secretase assessed as reduction of membrane A-beta-40 level,IC50,CCC1(O)CCN(C(=O)O[C@H]2CCC3CCCC2N3S(=O)(=O)c2ccc(Cl)cc2)CC1,104.0,nM,=,CHEMBL236196,active
Inhibition of gamma-secretase assessed as reduction of membrane A-beta-40 level,IC50,CC(C)(CO)N1CCN(C(=O)O[C@H]2CCC3CCCC2N3S(=O)(=O)c2ccc(Cl)cc2)CC1,57.0,nM,=,CHEMBL429449,active
