assay,std_type,SMILES,std_value,std_units,standard_relation,molecule_chembl_id,activity_type,structure_curated,substance_type_name,pIC50
Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),IC50,CC(C(=O)O)c1ccc(-c2ccc(OC3CCCCC3)cc2)c(F)c1,41000.0,nM,=,CHEMBL380778,inactive,CC(C(=O)O)c1ccc(-c2ccc(OC3CCCCC3)cc2)c(F)c1,organic,4.3872161432802645
Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),IC50,CC(C(=O)O)c1ccc(-c2ccc(-c3ccc(O)cc3)cc2)c(F)c1,35000.0,nM,=,CHEMBL197202,inactive,CC(C(=O)O)c1ccc(-c2ccc(-c3ccc(O)cc3)cc2)c(F)c1,organic,4.455931955649724
Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),IC50,O=C(O)C1(c2ccc(-c3ccc(C(F)(F)F)cc3)c(F)c2)CC1,111000.0,nM,=,CHEMBL196246,inactive,O=C(O)C1(c2ccc(-c3ccc(C(F)(F)F)cc3)c(F)c2)CC1,organic,3.9546770212133424
Concentration required to inhibit A beta 40 peptide 100 um,IC50,O=C(O)C1(c2ccc(-c3ccc(C(F)(F)F)cc3)c(F)c2)CC1,22000.0,nM,=,CHEMBL196246,inactive,O=C(O)C1(c2ccc(-c3ccc(C(F)(F)F)cc3)c(F)c2)CC1,organic,4.657577319177793
Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),IC50,O=C(O)C1(c2ccc(-c3ccc(Cl)c(Cl)c3)c(F)c2)CC1,41000.0,nM,=,CHEMBL196945,inactive,O=C(O)C1(c2ccc(-c3ccc(Cl)c(Cl)c3)c(F)c2)CC1,organic,4.3872161432802645
Concentration required to inhibit A beta 40 peptide 100 uM,IC50,O=C(O)C1(c2ccc(-c3ccc(Cl)c(Cl)c3)c(F)c2)CC1,14000.0,nM,=,CHEMBL196945,inactive,O=C(O)C1(c2ccc(-c3ccc(Cl)c(Cl)c3)c(F)c2)CC1,organic,4.853871964321762
Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),IC50,O=C(O)C1(c2ccc(-c3csc4ccccc34)c(F)c2)CC1,96300.0,nM,=,CHEMBL196946,inactive,O=C(O)C1(c2ccc(-c3csc4ccccc34)c(F)c2)CC1,organic,4.016373712875465
Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),IC50,CC1(C)CCC(c2ccc(-c3ccc(C4(C(=O)O)CC4)cc3F)cc2)CC1,46000.0,nM,=,CHEMBL372751,inactive,CC1(C)CCC(c2ccc(-c3ccc(C4(C(=O)O)CC4)cc3F)cc2)CC1,organic,4.337242168318426
Concentration required to inhibit A beta 40 peptide 100 uM,IC50,CC1(C)CCC(c2ccc(-c3ccc(C4(C(=O)O)CC4)cc3F)cc2)CC1,101000.0,nM,=,CHEMBL372751,inactive,CC1(C)CCC(c2ccc(-c3ccc(C4(C(=O)O)CC4)cc3F)cc2)CC1,organic,3.9956786262173574
Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),IC50,CC(C)(C(=O)O)c1ccc(-c2ccc(C(F)(F)F)cc2)c(F)c1,70600.0,nM,=,CHEMBL194692,inactive,CC(C)(C(=O)O)c1ccc(-c2ccc(C(F)(F)F)cc2)c(F)c1,organic,4.151195298948196
Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),IC50,O=C(O)C1(c2ccc(-c3ccc(-c4ccc(O)cc4)cc3)c(F)c2)CC1,31600.0,nM,=,CHEMBL196947,inactive,O=C(O)C1(c2ccc(-c3ccc(-c4ccc(O)cc4)cc3)c(F)c2)CC1,organic,4.5003129173815966
Concentration required to inhibit A beta 40 peptide 100 uM,IC50,O=C(O)C1(c2ccc(-c3ccc(-c4ccc(O)cc4)cc3)c(F)c2)CC1,409000.0,nM,=,CHEMBL196947,inactive,O=C(O)C1(c2ccc(-c3ccc(-c4ccc(O)cc4)cc3)c(F)c2)CC1,organic,3.388276691992658
Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),IC50,O=C(O)C1(c2ccc(-c3ccc(-c4ccc(O)cc4)c(F)c3)c(F)c2)CC1,33600.0,nM,=,CHEMBL372846,inactive,O=C(O)C1(c2ccc(-c3ccc(-c4ccc(O)cc4)c(F)c3)c(F)c2)CC1,organic,4.473660722610156
Concentration required to inhibit A beta 40 peptide,IC50,O=C(O)C1(c2ccc(-c3ccc(-c4ccc(O)cc4)c(F)c3)c(F)c2)CC1,111000.0,nM,=,CHEMBL372846,inactive,O=C(O)C1(c2ccc(-c3ccc(-c4ccc(O)cc4)c(F)c3)c(F)c2)CC1,organic,3.9546770212133424
Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),IC50,O=C(O)C1(c2ccc(-c3ccc(-c4ccc(F)cc4)c(F)c3)c(F)c2)CC1,57900.0,nM,=,CHEMBL427548,inactive,O=C(O)C1(c2ccc(-c3ccc(-c4ccc(F)cc4)c(F)c3)c(F)c2)CC1,organic,4.2373214362725635
Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),IC50,CC1(C)CC(Oc2ccc(-c3ccc(C4(C(=O)O)CC4)cc3F)cc2)CC(C)(C)C1,11000.0,nM,=,CHEMBL197140,inactive,CC1(C)CC(Oc2ccc(-c3ccc(C4(C(=O)O)CC4)cc3F)cc2)CC(C)(C)C1,organic,4.958607314841775
Concentration required to inhibit A beta 40 peptide,IC50,O=C(O)C1(c2ccc(-c3ccc(OC4CCOCC4)cc3)c(F)c2)CC1,81000.0,nM,=,CHEMBL382721,inactive,O=C(O)C1(c2ccc(-c3ccc(OC4CCOCC4)cc3)c(F)c2)CC1,organic,4.0915149811213505
Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),IC50,O=C(O)C1(c2ccc(-c3ccc(OC4CCC(C(F)(F)F)CC4)cc3)c(F)c2)CC1,17700.0,nM,=,CHEMBL436483,inactive,O=C(O)C1(c2ccc(-c3ccc(OC4CCC(C(F)(F)F)CC4)cc3)c(F)c2)CC1,organic,4.752026733638194
Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),IC50,CC(c1ccc(-c2ccc(C(F)(F)F)cc2)c(F)c1)c1nnn[nH]1,114000.0,nM,=,CHEMBL196070,inactive,CC(c1ccc(-c2ccc(C(F)(F)F)cc2)c(F)c1)c1nnn[nH]1,organic,3.9430951486635273
Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),IC50,CC(C(N)=O)c1ccc(-c2cc(Cl)cc(Cl)c2)c(F)c1,64000.0,nM,=,CHEMBL193900,inactive,CC(C(N)=O)c1ccc(-c2cc(Cl)cc(Cl)c2)c(F)c1,organic,4.1938200260161125
Concentration required to inhibit A beta 40 peptide 100 uM,IC50,CC(C(N)=O)c1ccc(-c2cc(Cl)cc(Cl)c2)c(F)c1,12000.0,nM,=,CHEMBL193900,inactive,CC(C(N)=O)c1ccc(-c2cc(Cl)cc(Cl)c2)c(F)c1,organic,4.920818753952375
Concentration required to inhibit A beta 40 peptide 100 uM,IC50,CC(C(=O)OC(C)(C)C)c1ccc(-c2cc(Cl)cc(Cl)c2)c(F)c1,20000.0,nM,=,CHEMBL194020,inactive,CC(C(=O)OC(C)(C)C)c1ccc(-c2cc(Cl)cc(Cl)c2)c(F)c1,organic,4.698970004336019
Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),IC50,C[C@@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,280000.0,nM,=,CHEMBL190083,inactive,C[C@@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,organic,3.5528419686577806
Inhibition of soluble APPbeta N-terminal fragment secretion in cultured HEK293T cells,IC50,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@@H](N)C[C@@H](C)C(=O)N[C@H](C(=O)NCc2ccccc2)C(C)C)c1,5.2,nM,=,CHEMBL199946,active,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@@H](N)C[C@@H](C)C(=O)N[C@H](C(=O)NCc2ccccc2)C(C)C)c1,organic,8.2839966563652
Inhibition of soluble APPbeta N-terminal fragment secretion in cultured HEK293T cells,IC50,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](CC(C)C)[C@@H](N)C[C@@H](C)C(=O)Nc2ccc(F)cc2)c1,6000.0,nM,=,CHEMBL202877,active,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](CC(C)C)[C@@H](N)C[C@@H](C)C(=O)Nc2ccc(F)cc2)c1,organic,5.221848749616356
Inhibition of soluble APPbeta N-terminal fragment secretion in cultured HEK293T cells,IC50,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](CC(C)C)[C@H](N)C[C@@H](C)C(=O)N[C@H](C(=O)NCc2ccccc2)C(C)C)c1,9900.0,nM,=,CHEMBL200014,active,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](CC(C)C)[C@H](N)C[C@@H](C)C(=O)N[C@H](C(=O)NCc2ccccc2)C(C)C)c1,organic,5.00436480540245
Inhibition of soluble APPbeta N-terminal fragment secretion in cultured HEK293T cells,IC50,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](CC(C)C)[C@@H](N)C[C@@H](C)C(=O)N[C@H](C(=O)NCc2ccccc2)C(C)C)c1,740.0,nM,=,CHEMBL202507,active,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](CC(C)C)[C@@H](N)C[C@@H](C)C(=O)N[C@H](C(=O)NCc2ccccc2)C(C)C)c1,organic,6.130768280269024
Inhibition of soluble APPbeta N-terminal fragment secretion in cultured HEK293T cells,IC50,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@@H](N)C[C@@H](C)C(=O)Nc2ccc(F)cc2)c1,180.0,nM,=,CHEMBL200077,active,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@@H](N)C[C@@H](C)C(=O)Nc2ccc(F)cc2)c1,organic,6.7447274948966935
Inhibition of beta-amyloid peptide production in CHO N9 cell line,IC50,CCC[C@H](C(=O)NO)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Oc3ccccc3)c2)C1=O,200.0,nM,=,CHEMBL204357,active,CCC[C@H](C(=O)NO)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Oc3ccccc3)c2)C1=O,organic,6.698970004336019
Inhibition of beta-amyloid peptide production in CHO N9 cell line,IC50,CCC[C@H](C(=O)NO)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2ccccc2)C1=O,6800.0,nM,=,CHEMBL206766,active,CCC[C@H](C(=O)NO)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2ccccc2)C1=O,organic,5.167491087293763
Inhibition of beta-amyloid peptide production in CHO N9 cell line,IC50,CCC[C@H](C(=O)NC/C=C/Cc1ccccc1)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Oc3ccccc3)c2)C1=O,3000.0,nM,=,CHEMBL204443,active,CCC[C@H](C(=O)NC/C=C/Cc1ccccc1)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Oc3ccccc3)c2)C1=O,organic,5.522878745280337
Inhibition of beta-amyloid peptide production in CHO N9 cell line,IC50,CCC[C@H](C(=O)NC1CCCC1)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Oc3ccccc3)c2)C1=O,6000.0,nM,=,CHEMBL381336,active,CCC[C@H](C(=O)NC1CCCC1)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Oc3ccccc3)c2)C1=O,organic,5.221848749616356
Inhibition of beta-amyloid peptide production in CHO N9 cell line,IC50,CCC[C@H](C(=O)NCc1ccco1)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Oc3ccccc3)c2)C1=O,3000.0,nM,=,CHEMBL205400,active,CCC[C@H](C(=O)NCc1ccco1)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Oc3ccccc3)c2)C1=O,organic,5.522878745280337
Inhibition of beta-amyloid peptide production in CHO N9 cell line,IC50,CCCCNC(=O)[C@@H](CCC)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Oc3ccccc3)c2)C1=O,5000.0,nM,=,CHEMBL205714,active,CCCCNC(=O)[C@@H](CCC)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Oc3ccccc3)c2)C1=O,organic,5.301029995663981
Inhibition of beta-amyloid peptide production in CHO N9 cell line,IC50,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(NN3CCCCC3)c2)C1=O,74.0,nM,=,CHEMBL208230,active,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(NN3CCCCC3)c2)C1=O,organic,7.130768280269024
Inhibition of beta-amyloid peptide production in CHO N9 cell line,IC50,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3ccc(C(F)(F)F)cc3)c2)C1=O,30.0,nM,=,CHEMBL424684,active,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3ccc(C(F)(F)F)cc3)c2)C1=O,organic,7.522878745280337
Inhibition of beta-amyloid peptide production in CHO N9 cell line,IC50,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3ccc(OC)cc3)c2)C1=O,160.0,nM,=,CHEMBL274414,active,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3ccc(OC)cc3)c2)C1=O,organic,6.795880017344075
Inhibition of beta-amyloid peptide production in CHO N9 cell line,IC50,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3ccc(F)c(Cl)c3)c2)C1=O,17.0,nM,=,CHEMBL208504,active,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3ccc(F)c(Cl)c3)c2)C1=O,organic,7.769551078621726
Inhibition of beta-amyloid peptide production in CHO N9 cell line,IC50,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3ccc4c(c3)OCO4)c2)C1=O,152.0,nM,=,CHEMBL205970,active,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3ccc4c(c3)OCO4)c2)C1=O,organic,6.818156412055227
Inhibition of beta-amyloid peptide production in CHO N9 cell line,IC50,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3cccc(OC)c3)c2)C1=O,54.0,nM,=,CHEMBL410532,active,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3cccc(OC)c3)c2)C1=O,organic,7.267606240177032
Inhibition of beta-amyloid peptide production in CHO N9 cell line,IC50,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3cccc(C)c3)c2)C1=O,17.0,nM,=,CHEMBL208350,active,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3cccc(C)c3)c2)C1=O,organic,7.769551078621726
Inhibition of beta-amyloid peptide production in CHO N9 cell line,IC50,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3ccccc3Cl)c2)C1=O,29.0,nM,=,CHEMBL382880,active,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3ccccc3Cl)c2)C1=O,organic,7.5376020021010435
Inhibition of beta-amyloid peptide production in CHO N9 cell line,IC50,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3ccccc3)c2)C1=O,15.0,nM,=,CHEMBL205907,active,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3ccccc3)c2)C1=O,organic,7.823908740944319
Inhibition of gamma-secretase,IC50,CN1CCCC1CCNC(=O)OCCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1,530.0,nM,=,CHEMBL231446,active,CN1CCCC1CCNC(=O)OCCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1,organic,6.275724130399211
Inhibition of gamma-secretase,IC50,O=C(OC[C@H]1CCC[C@@H](c2ccccc2)N1S(=O)(=O)c1ccc(Cl)cc1)N1CCC(N2CCCCC2)CC1,16.0,nM,=,CHEMBL396543,active,O=C(OC[C@H]1CCC[C@@H](c2ccccc2)N1S(=O)(=O)c1ccc(Cl)cc1)N1CCC(N2CCCCC2)CC1,organic,7.795880017344075
Inhibition of gamma-secretase,IC50,O=C(OC[C@H]1CC[C@@H](c2ccccc2)N1S(=O)(=O)c1ccc(Cl)cc1)N1CCC(N2CCCCC2)CC1,180.0,nM,=,CHEMBL231548,active,O=C(OC[C@H]1CC[C@@H](c2ccccc2)N1S(=O)(=O)c1ccc(Cl)cc1)N1CCC(N2CCCCC2)CC1,organic,6.7447274948966935
Inhibition of gamma-secretase,IC50,O=C(NC1CCN(Cc2ccccc2)CC1)OC[C@H]1CC[C@@H](c2ccccc2)N1S(=O)(=O)c1ccc(Cl)cc1,140.0,nM,=,CHEMBL231547,active,O=C(NC1CCN(Cc2ccccc2)CC1)OC[C@H]1CC[C@@H](c2ccccc2)N1S(=O)(=O)c1ccc(Cl)cc1,organic,6.853871964321762
Inhibition of gamma-secretase,IC50,O=C(OC[C@H]1CC[C@@H](c2ccccc2)N1S(=O)(=O)c1ccc(Cl)cc1)N1CCN(C2CCCCC2)CC1,120.0,nM,=,CHEMBL231449,active,O=C(OC[C@H]1CC[C@@H](c2ccccc2)N1S(=O)(=O)c1ccc(Cl)cc1)N1CCN(C2CCCCC2)CC1,organic,6.920818753952375
Inhibition of gamma-secretase,IC50,O=C(OC[C@H]1CC[C@@H](c2ccccc2)N1S(=O)(=O)c1ccc(Cl)cc1)N1CCN(CCO)CC1,540.0,nM,=,CHEMBL231448,active,O=C(OC[C@H]1CC[C@@H](c2ccccc2)N1S(=O)(=O)c1ccc(Cl)cc1)N1CCN(CCO)CC1,organic,6.267606240177032
Inhibition of gamma-secretase,IC50,CN1CCN(C(=O)OC[C@H]2CC[C@@H](c3ccccc3)N2S(=O)(=O)c2ccc(Cl)cc2)CC1,450.0,nM,=,CHEMBL396542,active,CN1CCN(C(=O)OC[C@H]2CC[C@@H](c3ccccc3)N2S(=O)(=O)c2ccc(Cl)cc2)CC1,organic,6.346787486224656
Inhibition of gamma-secretase,IC50,O=C(NCCCn1ccnc1)OC[C@H]1CC[C@@H](c2ccccc2)N1S(=O)(=O)c1ccc(Cl)cc1,650.0,nM,=,CHEMBL231351,active,O=C(NCCCn1ccnc1)OC[C@H]1CC[C@@H](c2ccccc2)N1S(=O)(=O)c1ccc(Cl)cc1,organic,6.187086643357144
Inhibition of gamma-secretase,IC50,CN1CCCC1CCNC(=O)OC[C@H]1CC[C@@H](c2ccccc2)N1S(=O)(=O)c1ccc(Cl)cc1,600.0,nM,=,CHEMBL395313,active,CN1CCCC1CCNC(=O)OC[C@H]1CC[C@@H](c2ccccc2)N1S(=O)(=O)c1ccc(Cl)cc1,organic,6.221848749616356
Inhibition of gamma-secretase,IC50,O=C(OCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1)N1CCC(N2CCCCC2)CC1,73.0,nM,=,CHEMBL231250,active,O=C(OCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1)N1CCC(N2CCCCC2)CC1,organic,7.136677139879544
Inhibition of gamma-secretase,IC50,O=C(OCCCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1)N1CCC(N2CCCCC2)CC1,60.0,nM,=,CHEMBL231248,active,O=C(OCCCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1)N1CCC(N2CCCCC2)CC1,organic,7.221848749616356
Inhibition of gamma-secretase,IC50,O=C(OCCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1)N1CCC(N2CCCCC2)CC1,360.0,nM,=,CHEMBL395312,active,O=C(OCCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1)N1CCC(N2CCCCC2)CC1,organic,6.443697499232712
Inhibition of gamma-secretase,IC50,O=C(NC1CCN(Cc2ccccc2)CC1)OCCCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1,190.0,nM,=,CHEMBL390889,active,O=C(NC1CCN(Cc2ccccc2)CC1)OCCCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1,organic,6.721246399047171
Inhibition of gamma-secretase,IC50,O=C(NC1CCN(Cc2ccccc2)CC1)OCCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1,900.0,nM,=,CHEMBL231647,active,O=C(NC1CCN(Cc2ccccc2)CC1)OCCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1,organic,6.045757490560675
