assay,std_type,SMILES,std_value,std_units,standard_relation,molecule_chembl_id
Observed stimulation of the production of soluble beta-amyloid precursor protein,Stimulation,CC12CCC(C1)C(C)(C)C2NS(=O)(=O)c1ccc(F)cc1,20.0,%,=,CHEMBL311039
"Inhibition of A-beta-42 production by inhibiting Gamma-secretase proteolytic pathway in HEK293 cell stably transfected with a double mutant form of human APP(K595N/M596L), at 2.5 uM concentration",Inhibition,CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1cccs1,47.0,%,=,CHEMBL450926
Inhibition of A-beta-42 production by inhibiting Gamma-secretase proteolytic pathway in HEK293 cell stably transfected with a double mutant form of human APP(K595N/M596L),IC50,CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1cccs1,2700.0,nM,=,CHEMBL450926
Observed stimulation of the production of soluble beta-amyloid precursor protein,Stimulation,CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1cccs1,32.0,%,=,CHEMBL450926
"Inhibition of A-beta-42 production by inhibiting Gamma-secretase proteolytic pathway in HEK293 cell stably transfected with a double mutant form of human APP(K595N/M596L), at 2.5 uM concentration",Inhibition,CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1ccc(F)cc1,58.0,%,=,CHEMBL310242
Inhibition of A-beta-42 production by inhibiting Gamma-secretase proteolytic pathway in HEK293 cell stably transfected with a double mutant form of human APP(K595N/M596L),IC50,CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1ccc(F)cc1,1800.0,nM,=,CHEMBL310242
Observed stimulation of the production of soluble beta-amyloid precursor protein,Stimulation,CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1ccc(F)cc1,23.0,%,=,CHEMBL310242
"Inhibition of A-beta-42 production by inhibiting Gamma-secretase proteolytic pathway in HEK293 cell stably transfected with a double mutant form of human APP(K595N/M596L), at 2.5 uM concentration",Inhibition,CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1ccc(Cl)cc1,26.0,%,=,CHEMBL74874
Inhibition of A-beta-42 production by inhibiting Gamma-secretase proteolytic pathway in HEK293 cell stably transfected with a double mutant form of human APP(K595N/M596L),IC50,CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1ccc(Cl)cc1,11000.0,nM,=,CHEMBL74874
Observed stimulation of the production of soluble beta-amyloid precursor protein,Stimulation,CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1ccc(Cl)cc1,0.0,%,=,CHEMBL74874
"Inhibition of A-beta-42 production by inhibiting Gamma-secretase proteolytic pathway in HEK293 cell stably transfected with a double mutant form of human APP(K595N/M596L), at 2.5 uM concentration",Inhibition,CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1ccc(Br)cc1,24.0,%,=,CHEMBL75183
Inhibition of A-beta-42 production by inhibiting Gamma-secretase proteolytic pathway in HEK293 cell stably transfected with a double mutant form of human APP(K595N/M596L),IC50,CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1ccc(Br)cc1,10000.0,nM,=,CHEMBL75183
Observed stimulation of the production of soluble beta-amyloid precursor protein,Stimulation,CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1ccc(Br)cc1,0.0,%,=,CHEMBL75183
"Inhibition of A-beta-42 production by inhibiting Gamma-secretase proteolytic pathway in HEK293 cell stably transfected with a double mutant form of human APP(K595N/M596L), at 2.5 uM concentration",Inhibition,CC12CC[C@@H](C1)C(C)(C)[C@H]2NS(=O)(=O)c1ccc(F)cc1,0.0,%,=,CHEMBL432343
"Inhibition of A-beta-42 production by inhibiting Gamma-secretase proteolytic pathway in HEK293 cell stably transfected with a double mutant form of human APP(K595N/M596L), at 2.5 uM concentration",Inhibition,CC1(C)[C@@H]2CC[C@@](C)(C2)[C@H]1NS(=O)(=O)c1ccc(F)cc1,0.0,%,=,CHEMBL2114129
Inhibitory activity against binding of [125I]IMSB to amyloid beta in brain,Ki,O=C(O)c1cc(/C=C\c2ccc(/C=C\c3ccc(O)c(C(=O)O)c3)c(Br)c2)ccc1O,0.13,nM,=,CHEMBL76112
Inhibitory activity against binding of [125I]IMSB to amyloid beta in brain,Ki,O=C(O)c1cc(/C=C\c2ccc(/C=C/c3ccc(O)c(C(=O)O)c3)c(Br)c2)ccc1O,0.27,nM,=,CHEMBL74348
Inhibitory activity against binding of [125I]IMSB to amyloid beta in brain,Ki,O=C(O)c1cc(/C=C\c2ccc(/C=C/c3ccc(O)c(C(=O)O)c3)cc2Br)ccc1O,0.19,nM,=,CHEMBL305634
Inhibitory activity against binding of [125I]IMSB to amyloid beta in brain,Ki,O=C(O)c1cc(/N=N/c2ccc(-c3ccc(/N=N/c4ccc(O)c(C(=O)O)c4)cc3)cc2)ccc1O,0.14,nM,=,CHEMBL300172
Inhibitory activity against binding of [125I]IMSB to amyloid beta in brain,Ki,O=C(O)c1ccccc1O,1800.0,nM,>,CHEMBL424
Inhibitory activity against binding of [125I]IMSB to amyloid beta in brain,Ki,O=C(O)c1cc(/C=C/c2ccc(/C=C/c3ccc(O)c(C(=O)O)c3)c(Br)c2)ccc1O,0.11,nM,=,CHEMBL74704
Inhibition constant for aggregates of amyloid beta compared to [125I]IMSB,Ki,CN(C)c1ccc(-c2nc3ccc(I)cc3s2)cc1,2000.0,nM,>,CHEMBL55380
Inhibition constant for amyloid beta compared to [125I]TZDM,Ki,CN(C)c1ccc(-c2nc3ccc(I)cc3s2)cc1,0.9,nM,=,CHEMBL55380
Inhibition constant for aggregates of amyloid beta compared to [125I]IMSB,Ki,CN(C)c1ccc(-c2nc3ccc(I)cc3s2)cc1,5000.0,nM,>,CHEMBL55380
Inhibition constant for amyloid beta compared to [125I]TZDM,Ki,CN(C)c1ccc(-c2nc3ccc(I)cc3s2)cc1,2.2,nM,=,CHEMBL55380
Inhibition constant for aggregates of amyloid beta compared to [125I]IMSB,Ki,CN1CCN(c2ccc(-c3nc4ccc(I)cc4s3)cc2)CC1,2000.0,nM,>,CHEMBL58092
Inhibition constant for amyloid beta compared to [125I]TZDM,Ki,CN1CCN(c2ccc(-c3nc4ccc(I)cc4s3)cc2)CC1,5.4,nM,=,CHEMBL58092
Inhibition constant for aggregates of amyloid beta compared to [125I]IMSB,Ki,CN1CCN(c2ccc(-c3nc4ccc(I)cc4s3)cc2)CC1,2000.0,nM,>,CHEMBL58092
Inhibition constant for amyloid beta compared to [125I]TZDM,Ki,CN1CCN(c2ccc(-c3nc4ccc(I)cc4s3)cc2)CC1,6.4,nM,=,CHEMBL58092
Inhibition constant for aggregates of amyloid beta compared to [125I]IMSB,Ki,COc1ccc(/C=C/c2ccc(/C=C/c3ccc(OC)c(C(=O)O)c3)c(I)c2)cc1C(=O)O,0.17,nM,=,CHEMBL292910
Inhibition constant for amyloid beta compared to [125I]TZDM,Ki,COc1ccc(/C=C/c2ccc(/C=C/c3ccc(OC)c(C(=O)O)c3)c(I)c2)cc1C(=O)O,1000.0,nM,>,CHEMBL292910
Inhibition constant for aggregates of amyloid beta compared to [125I]IMSB,Ki,COc1ccc(/C=C/c2ccc(/C=C/c3ccc(OC)c(C(=O)O)c3)c(I)c2)cc1C(=O)O,0.8,nM,=,CHEMBL292910
Inhibition constant for amyloid beta compared to [125I]TZDM,Ki,COc1ccc(/C=C/c2ccc(/C=C/c3ccc(OC)c(C(=O)O)c3)c(I)c2)cc1C(=O)O,1000.0,nM,>,CHEMBL292910
Inhibition constant for aggregates of amyloid beta compared to [125I]IMSB,Ki,O=C(O)c1cc(/N=N/c2ccc(-c3ccc(/N=N/c4ccc(O)c(C(=O)O)c4)cc3)cc2)ccc1O,0.14,nM,=,CHEMBL300172
Inhibition constant for amyloid beta compared to [125I]TZDM,Ki,O=C(O)c1cc(/N=N/c2ccc(-c3ccc(/N=N/c4ccc(O)c(C(=O)O)c4)cc3)cc2)ccc1O,1000.0,nM,>,CHEMBL300172
Inhibition constant of compound on ligand binding to aggregates of Amyloid beta was measured by comparing with [125I]IMSB,Ki,O=C(O)c1cc(/N=N/c2ccc(-c3ccc(/N=N/c4ccc(O)c(C(=O)O)c4)cc3)cc2)ccc1O,0.4,nM,=,CHEMBL300172
Inhibition constant of compound on ligand binding to aggregates of Amyloid beta was measured by comparing with [125I]TZDM,Ki,O=C(O)c1cc(/N=N/c2ccc(-c3ccc(/N=N/c4ccc(O)c(C(=O)O)c4)cc3)cc2)ccc1O,2000.0,nM,>,CHEMBL300172
Inhibition constant for aggregates of amyloid beta compared to [125I]IMSB,Ki,CN(C)c1ccc(-c2nc3ccc(Br)cc3s2)cc1,2000.0,nM,>,CHEMBL55401
Inhibition constant for amyloid beta compared to [125I]TZDM,Ki,CN(C)c1ccc(-c2nc3ccc(Br)cc3s2)cc1,1.9,nM,=,CHEMBL55401
Inhibition constant for aggregates of amyloid beta compared to [125I]IMSB,Ki,CN(C)c1ccc(-c2nc3ccc(Br)cc3s2)cc1,3000.0,nM,>,CHEMBL55401
Inhibition constant for amyloid beta compared to [125I]TZDM,Ki,CN(C)c1ccc(-c2nc3ccc(Br)cc3s2)cc1,0.8,nM,=,CHEMBL55401
Inhibition constant for aggregates of amyloid beta compared to [125I]IMSB,Ki,Cc1ccc2c(c1)sc(-c1ccc(N(C)C)cc1)[n+]2C,9000.0,nM,>,CHEMBL57267
Inhibition constant for amyloid beta compared to [125I]TZDM,Ki,Cc1ccc2c(c1)sc(-c1ccc(N(C)C)cc1)[n+]2C,116.0,nM,=,CHEMBL57267
Inhibition constant for aggregates of amyloid beta compared to [125I]IMSB,Ki,Cc1ccc2c(c1)sc(-c1ccc(N(C)C)cc1)[n+]2C,4000.0,nM,>,CHEMBL57267
Inhibition constant for amyloid beta compared to [125I]TZDM,Ki,Cc1ccc2c(c1)sc(-c1ccc(N(C)C)cc1)[n+]2C,294.0,nM,=,CHEMBL57267
Inhibition constant for aggregates of amyloid beta compared to [125I]IMSB,Ki,CN1CCN(c2ccc(-c3nc4ccc(Br)cc4s3)cc2)CC1,2000.0,nM,>,CHEMBL55536
Inhibition constant for amyloid beta compared to [125I]TZDM,Ki,CN1CCN(c2ccc(-c3nc4ccc(Br)cc4s3)cc2)CC1,1.6,nM,=,CHEMBL55536
Inhibition constant for aggregates of amyloid beta compared to [125I]IMSB,Ki,CN1CCN(c2ccc(-c3nc4ccc(Br)cc4s3)cc2)CC1,2400.0,nM,>,CHEMBL55536
Inhibition constant for amyloid beta compared to [125I]TZDM,Ki,CN1CCN(c2ccc(-c3nc4ccc(Br)cc4s3)cc2)CC1,5.0,nM,=,CHEMBL55536
Binding affinity for Amyloid beta 1-40 aggregates in competition with [N-methyl-3H] BTA-1.,Ki,COc1ccc2nc(-c3ccc(N(C)C)cc3)sc2c1,1.9,nM,=,CHEMBL328430
Binding affinity for Amyloid beta 1-40 aggregates in competition with [N-methyl-3H] BTA-1.,Ki,CNc1ccc(-c2nc3ccccc3s2)cc1,11.0,nM,=,CHEMBL93334
Binding affinity for Amyloid beta 1-40 aggregates in competition with [N-methyl-3H] BTA-1.,Ki,CNc1ccc(-c2nc3ccc(O)cc3s2)cc1,4.3,nM,=,CHEMBL93124
Binding affinity for Amyloid beta 1-40 aggregates in competition with [N-methyl-3H] BTA-1.,Ki,CNc1ccc(-c2nc3ccc(C#N)cc3s2)cc1,8.6,nM,=,CHEMBL92802
Binding affinity for Amyloid beta 1-40 aggregates in competition with [N-methyl-3H] BTA-1.,Ki,COc1ccc2nc(-c3ccc(N)cc3)sc2c1,7.0,nM,=,CHEMBL92390
Binding affinity for Amyloid beta 1-40 aggregates in competition with [N-methyl-3H] BTA-1.,Ki,Nc1ccc(-c2nc3ccccc3s2)cc1,37.0,nM,=,CHEMBL93118
Binding affinity for Amyloid beta 1-40 aggregates in competition with [N-methyl-3H] BTA-1.,Ki,CNc1ccc(-c2nc3ccc(Br)cc3s2)cc1,1.7,nM,=,CHEMBL328660
Binding affinity for Amyloid beta 1-40 aggregates in competition with [N-methyl-3H] BTA-1.,Ki,Nc1ccc(-c2nc3ccc(O)cc3s2)cc1,46.0,nM,=,CHEMBL93884
Binding affinity for Amyloid beta 1-40 aggregates in competition with [N-methyl-3H] BTA-1.,Ki,CN(C)c1ccc(-c2nc3ccc(Br)cc3s2)cc1,2.9,nM,=,CHEMBL55401
Binding affinity for Amyloid beta 1-40 aggregates in competition with [N-methyl-3H] BTA-1.,Ki,CN(C)c1ccc(-c2nc3ccccc3s2)cc1,4.0,nM,=,CHEMBL92816
Binding affinity for Amyloid beta 1-40 aggregates in competition with [N-methyl-3H] BTA-1.,Ki,N#Cc1ccc2nc(-c3ccc(N)cc3)sc2c1,64.0,nM,=,CHEMBL93270
Binding affinity for Amyloid beta 1-40 aggregates in competition with [N-methyl-3H] BTA-1.,Ki,CN(C)c1ccc(-c2nc3ccc(C#N)cc3s2)cc1,11.0,nM,=,CHEMBL92801
Binding affinity for Amyloid beta 1-40 aggregates fibrils in competition with BTA-1,Ki,Cc1ccc2c(c1)sc(-c1ccc(N(C)C)cc1)[n+]2C,580.0,nM,=,CHEMBL57267
Binding affinity for Amyloid beta 1-40 aggregates in competition with [N-methyl-3H] BTA-1.,Ki,CNc1ccc(-c2nc3ccc(C)cc3s2)cc1,10.0,nM,=,CHEMBL330529
Binding affinity for Amyloid beta 1-40 aggregates in competition with [N-methyl-3H] BTA-1.,Ki,Cc1ccc2nc(-c3ccc(N(C)C)cc3)sc2c1,64.0,nM,=,CHEMBL329640
Binding affinity for Amyloid beta 1-40 aggregates in competition with [N-methyl-3H] BTA-1.,Ki,CN(C)c1ccc(-c2nc3ccc(O)cc3s2)cc1,4.4,nM,=,CHEMBL91449
Binding affinity for Amyloid beta 1-40 aggregates in competition with [N-methyl-3H] BTA-1.,Ki,Nc1ccc(-c2nc3ccc(Br)cc3s2)cc1,7.2,nM,=,CHEMBL92852
Binding affinity for Amyloid beta 1-40 aggregates in competition with [N-methyl-3H] BTA-1.,Ki,CNc1ccc(-c2nc3ccc(OC)cc3s2)cc1,4.9,nM,=,CHEMBL94230
Binding affinity for Amyloid beta 1-40 aggregates in competition with [N-methyl-3H] BTA-1.,Ki,Cc1ccc2nc(-c3ccc(N)cc3)sc2c1,9.5,nM,=,CHEMBL93109
In vitro effective concentration against beta amyloid protein 42 in ELISA,EC50,CCCNC(=O)OC[C@@H](C)N(c1cc(Cl)ccc1CO)S(=O)(=O)c1ccc(Cl)cc1,100.0,nM,<,CHEMBL181204
In vitro effective concentration against beta amyloid protein 40 in ELISA,EC50,CCOC(=O)N1CCC(c2ccccc2OC)(S(=O)(=O)c2ccc(Cl)cc2)CC1,3500.0,nM,=,CHEMBL360473
In vitro effective concentration against beta amyloid protein 42 in ELISA,EC50,CCOC(=O)N1CCC(c2ccccc2OC)(S(=O)(=O)c2ccc(Cl)cc2)CC1,5000.0,nM,=,CHEMBL360473
In vitro inhibition of amyloid precursor protein 695 activity in CHO cells expressing human APP,EC50,CCOC(=O)N1CCC(c2ccccc2OC)(S(=O)(=O)c2ccc(Cl)cc2)CC1,1030.0,nM,=,CHEMBL360473
In vitro reduction of Swedish NL mutant amyloid precursor protein activity expressed in CHO cells,EC50,CCOC(=O)N1CCC(c2ccccc2OC)(S(=O)(=O)c2ccc(Cl)cc2)CC1,530.0,nM,=,CHEMBL360473
In vitro elevation of beta C-terminal fragment (Ct-99) in CHO cells expressing mutant Swedish NL human APP,EC50,CCOC(=O)N1CCC(c2ccccc2OC)(S(=O)(=O)c2ccc(Cl)cc2)CC1,640.0,nM,=,CHEMBL360473
In vitro effective concentration against beta amyloid protein 40 in ELISA,EC50,CCOC(=O)N1CCC(c2ccccc2)(S(=O)(=O)c2ccc(Cl)cc2)CC1,12200.0,nM,=,CHEMBL180641
In vitro effective concentration against beta amyloid protein 42 in ELISA,EC50,CCOC(=O)N1CCC(c2ccccc2)(S(=O)(=O)c2ccc(Cl)cc2)CC1,20900.0,nM,=,CHEMBL180641
In vitro effective concentration against beta amyloid protein 40 in ELISA,EC50,CCOC(=O)N1CCC(c2ccccc2C)(S(=O)(=O)c2ccc(Cl)cc2)CC1,2700.0,nM,=,CHEMBL183805
In vitro effective concentration against beta amyloid protein 42 in ELISA,EC50,CCOC(=O)N1CCC(c2ccccc2C)(S(=O)(=O)c2ccc(Cl)cc2)CC1,3700.0,nM,=,CHEMBL183805
In vitro effective concentration against beta amyloid protein 40 in ELISA,EC50,CCOC(=O)N1CCC(c2ccccc2OC)(S(=O)(=O)c2ccccc2)CC1,62700.0,nM,=,CHEMBL183806
In vitro effective concentration against beta amyloid protein 42 in ELISA; increase in presence of weak inhibitor,EC50,CCOC(=O)N1CCC(c2ccccc2OC)(S(=O)(=O)c2ccccc2)CC1,,nM,,CHEMBL183806
Percent inhibition of beta amyloid protein 40 activity in ELISA at 100 uM,Inhibition,CCOC(=O)N1CCC(c2ccccc2)(S(=O)(=O)c2ccccc2)CC1,84.0,%,=,CHEMBL182896
In vitro effective concentration against beta amyloid protein 42 in ELISA; increase in presence of weak inhibitor,EC50,CCOC(=O)N1CCC(c2ccccc2)(S(=O)(=O)c2ccccc2)CC1,,nM,,CHEMBL182896
In vitro effective concentration against beta amyloid protein 40 in ELISA,EC50,CCOC(=O)N1CCC(c2ccccc2C)(S(=O)(=O)c2ccccc2)CC1,48600.0,nM,=,CHEMBL183815
In vitro effective concentration against beta amyloid protein 42 in ELISA; increase in presence of weak inhibitor,EC50,CCOC(=O)N1CCC(c2ccccc2C)(S(=O)(=O)c2ccccc2)CC1,,nM,,CHEMBL183815
In vitro effective concentration against beta amyloid protein 40 in ELISA,EC50,CCOC(=O)N1CCC(c2ccccc2OC)(S(=O)(=O)c2ccc(OC)cc2)CC1,50600.0,nM,=,CHEMBL182768
In vitro effective concentration against beta amyloid protein 42 in ELISA; increase in presence of weak inhibitor,EC50,CCOC(=O)N1CCC(c2ccccc2OC)(S(=O)(=O)c2ccc(OC)cc2)CC1,,nM,,CHEMBL182768
In vitro effective concentration against beta amyloid protein 40 in ELISA,EC50,CCOC(=O)N1CCC(c2ccccc2)(S(=O)(=O)c2ccc(OC)cc2)CC1,97000.0,nM,=,CHEMBL360740
In vitro effective concentration against beta amyloid protein 42 in ELISA; increase in presence of weak inhibitor,EC50,CCOC(=O)N1CCC(c2ccccc2)(S(=O)(=O)c2ccc(OC)cc2)CC1,,nM,,CHEMBL360740
In vitro effective concentration against beta amyloid protein 40 in ELISA,EC50,CCOC(=O)N1CCC(c2ccccc2C)(S(=O)(=O)c2ccc(OC)cc2)CC1,24500.0,nM,=,CHEMBL360341
In vitro effective concentration against beta amyloid protein 42 in ELISA; increase in presence of weak inhibitor,EC50,CCOC(=O)N1CCC(c2ccccc2C)(S(=O)(=O)c2ccc(OC)cc2)CC1,,nM,,CHEMBL360341
In vitro effective concentration against beta amyloid protein 40 in ELISA,EC50,CCCNC(=O)OC[C@@H](C)N(c1cc(Cl)ccc1CO)S(=O)(=O)c1ccc(Cl)cc1,100.0,nM,=,CHEMBL181204
Percent inhibition against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL) at 100 uM,Inhibition,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,30.0,%,=,CHEMBL563
Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),IC50,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,305000.0,nM,=,CHEMBL563
Concentration required to inhibit A beta 40 peptide; nd is not determined,Inhibition,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,,%,,CHEMBL563
Percent inhibition against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL) at 100 uM,Inhibition,CC(C(=O)O)c1ccc(-c2ccc(Cl)c(Cl)c2)c(F)c1,87.0,%,=,CHEMBL196279
Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),IC50,CC(C(=O)O)c1ccc(-c2ccc(Cl)c(Cl)c2)c(F)c1,75000.0,nM,=,CHEMBL196279
Concentration required to inhibit A beta 40 peptide; nd is not determined,IC50,CC(C(=O)O)c1ccc(-c2ccc(Cl)c(Cl)c2)c(F)c1,,nM,,CHEMBL196279
Percent inhibition against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL) at 100 uM,Inhibition,CC(C(=O)O)c1ccc(-c2cc(Cl)cc(Cl)c2)c(F)c1,75.0,%,=,CHEMBL195970
Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),IC50,CC(C(=O)O)c1ccc(-c2cc(Cl)cc(Cl)c2)c(F)c1,77000.0,nM,=,CHEMBL195970
Concentration required to inhibit A beta 40 peptide,IC50,CC(C(=O)O)c1ccc(-c2cc(Cl)cc(Cl)c2)c(F)c1,94000.0,nM,=,CHEMBL195970
Percent inhibition against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL) at 100 uM,Inhibition,CC(C(=O)O)c1ccc(-c2ccccc2Cl)c(F)c1,13.0,%,=,CHEMBL197456
Concentration required to inhibit amyloid beta 42 peptide; nd is not determined,IC50,CC(C(=O)O)c1ccc(-c2ccccc2Cl)c(F)c1,,nM,,CHEMBL197456
Percent inhibition against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL) at 100 uM,Inhibition,CC(C(=O)O)c1ccc(-c2cccc(Cl)c2)c(F)c1,58.0,%,=,CHEMBL194098
Concentration required to inhibit amyloid beta 42 peptide; nd is not determined,IC50,CC(C(=O)O)c1ccc(-c2cccc(Cl)c2)c(F)c1,,nM,,CHEMBL194098
Percent inhibition against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL) at 100 uM,Inhibition,CC(C(=O)O)c1ccc(-c2ccc(Cl)cc2)c(F)c1,55.0,%,=,CHEMBL193415
Concentration required to inhibit amyloid beta 42 peptide; nd is not determined,IC50,CC(C(=O)O)c1ccc(-c2ccc(Cl)cc2)c(F)c1,,nM,,CHEMBL193415
Percent inhibition against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL) at 100 uM,Inhibition,CC(C(=O)O)c1ccc(-c2ccc(C3CCCCC3)cc2)c(F)c1,79.0,%,=,CHEMBL264006
Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),IC50,CC(C(=O)O)c1ccc(-c2ccc(C3CCCCC3)cc2)c(F)c1,21000.0,nM,=,CHEMBL264006
Concentration required to inhibit A beta 40 peptide,IC50,CC(C(=O)O)c1ccc(-c2ccc(C3CCCCC3)cc2)c(F)c1,46000.0,nM,=,CHEMBL264006
Percent inhibition against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL) at 100 uM,Inhibition,Cc1ccc(-c2ccc(C(C)C(=O)O)cc2F)cc1,44.0,%,=,CHEMBL195884
Concentration required to inhibit amyloid beta 42 peptide; nd is not determined,IC50,Cc1ccc(-c2ccc(C(C)C(=O)O)cc2F)cc1,,nM,,CHEMBL195884
Percent inhibition against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL) at 100 uM,Inhibition,CC(C(=O)O)c1ccc(-c2ccc(C(F)(F)F)cc2)c(F)c1,60.0,%,=,CHEMBL193971
Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),IC50,CC(C(=O)O)c1ccc(-c2ccc(C(F)(F)F)cc2)c(F)c1,129000.0,nM,=,CHEMBL193971
Concentration required to inhibit A beta 40 peptide; nd is not determined,IC50,CC(C(=O)O)c1ccc(-c2ccc(C(F)(F)F)cc2)c(F)c1,,nM,,CHEMBL193971
Percent inhibition against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL) at 100 uM,Inhibition,CC(C(=O)O)c1ccc(-c2ccccc2C(F)(F)F)c(F)c1,25.0,%,=,CHEMBL194686
Concentration required to inhibit amyloid beta 42 peptide; nd is not determined,IC50,CC(C(=O)O)c1ccc(-c2ccccc2C(F)(F)F)c(F)c1,,nM,,CHEMBL194686
Percent inhibition against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL) at 100 uM,Inhibition,CC(C(=O)O)c1ccc(-c2csc3ccccc23)c(F)c1,96.0,%,=,CHEMBL194274
